opeid,name,state,subsidized_recipients,subsidized_loans_originated_nb,subsidized_loans_originated_usd,subsidized_disbursements_nb,subsidized_disbursements_usd,unsubsidized_undergraduate_recipients,unsubsidized_undergraduate_loans_originated_nb,unsubsidized_undergraduate_loans_originated_usd,unsubsidized_undergraduate_disbursements_nb,unsubsidized_undergraduate_disbursements_usd,unsubsidized_graduate_recipients,unsubsidized_graduate_loans_originated_nb,unsubsidized_graduate_loans_originated_usd,unsubsidized_graduate_disbursements_nb,unsubsidized_graduate_disbursements_usd,parent_plus_recipients,parent_plus_loans_originated_nb,parent_plus_loans_originated_usd,parent_plus_disbursements_nb,parent_plus_disbursements_usd,graduate_plus_recipients,graduate_plus_loans_originated_nb,graduate_plus_loans_originated_usd,graduate_plus_disbursements_nb,graduate_plus_disbursements_usd
1061,ALASKA PACIFIC UNIVERSITY,AK,208,222," $941,993.00 ",352," $861,010.00 ",199,228," $987,678.00 ",347," $857,403.00 ",130,161," $2,199,980.00 ",242," $2,010,380.00 ",23,23," $388,760.00 ",42," $348,805.00 ",12,16," $159,960.00 ",21," $156,070.00 "
1063,UNIVERSITY OF ALASKA FAIRBANKS,AK,2012,2163," $7,588,799.00 ",3499," $7,524,220.00 ",1997,2205," $9,577,728.00 ",3571," $9,433,738.00 ",264,302," $3,672,974.00 ",487," $3,639,934.00 ",206,245," $2,056,119.00 ",405," $2,026,211.00 ",2,6," $29,107.00 ",11," $29,107.00 "
1065,UNIVERSITY OF ALASKA SOUTHEAST,AK,520,556," $2,025,892.00 ",929," $1,946,766.00 ",549,633," $2,799,490.00 ",998," $2,662,736.00 ",135,182," $1,661,332.00 ",259," $1,592,253.00 ",36,39," $353,458.00 ",65," $342,276.00 ",15,18," $70,803.00 ",28," $68,085.00 "
8843,ALASKA BIBLE COLLEGE,AK,13,13," $46,064.00 ",22," $45,907.00 ",12,12," $41,884.00 ",19," $37,291.00 ", - , - , $- ,0, $- ,1,1," $3,420.00 ",1," $3,420.00 ", - , - , $- ,0, $- 
11462,UNIVERSITY OF ALASKA ANCHORAGE,AK,4618,4874," $17,207,176.00 ",7822," $17,167,941.00 ",4597,4988," $22,223,298.00 ",8024," $22,099,605.00 ",310,353," $4,286,885.00 ",571," $4,269,279.00 ",214,222," $2,176,815.00 ",375," $2,128,941.00 ",72,75," $325,592.00 ",125," $325,541.00 "
25410,ALASKA CAREER COLLEGE,AK,389,408," $1,283,224.00 ",728," $1,198,993.00 ",370,397," $1,923,792.00 ",702," $1,745,884.00 ", - , - , $- ,0, $- ,9,9," $64,112.00 ",17," $60,646.00 ", - , - , $- ,0, $- 
25769,CHARTER COLLEGE,AK,3041,3826," $10,511,551.00 ",7909," $9,973,979.00 ",2901,4072," $15,100,024.00 ",8443," $14,134,761.00 ",2,2," $13,854.00 ",2," $13,777.00 ",98,115," $868,885.00 ",232," $824,188.00 ", - , - , $- ,0, $- 
31603,AVTEC - ALASKA'S INSTITUTE OF TECHNOLOGY,AK,46,47," $148,860.00 ",81," $136,570.00 ",55,56," $246,130.00 ",99," $228,008.00 ", - , - , $- ,0, $- ,1,1," $12,430.00 ",2," $12,430.00 ", - , - , $- ,0, $- 
41386,ALASKA CHRISTIAN COLLEGE,AK,43,67," $132,303.00 ",67," $132,303.00 ",20,28," $44,834.00 ",28," $44,834.00 ", - , - , $- ,0, $- , - , - , $- ,0, $- , - , - , $- ,0, $- 
1002,ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY,AL,3316,3557," $12,853,796.00 ",6448," $12,470,819.00 ",3466,4741," $16,831,530.00 ",8543," $16,293,597.00 ",745,1052," $10,994,174.00 ",1942," $10,771,628.00 ",390,455," $4,407,706.00 ",817," $4,295,525.00 ",42,54," $288,898.00 ",100," $288,897.00 "
1003,FAULKNER UNIVERSITY,AL,2103,3410," $9,260,715.00 ",5515," $9,253,604.00 ",2073,3501," $10,486,678.00 ",5754," $10,470,785.00 ",527,799," $9,084,040.00 ",1116," $9,072,044.00 ",163,176," $1,418,342.00 ",306," $1,416,067.00 ",222,299," $5,911,808.00 ",493," $5,861,430.00 "
1004,UNIVERSITY OF MONTEVALLO,AL,1365,1460," $5,370,440.00 ",2635," $5,366,950.00 ",1403,1634," $5,722,653.00 ",2918," $5,707,656.00 ",338,427," $4,590,910.00 ",687," $4,573,402.00 ",110,122," $791,429.00 ",219," $785,471.00 ",11,13," $57,955.00 ",13," $57,955.00 "
1005,ALABAMA STATE UNIVERSITY,AL,4476,4878," $16,198,654.00 ",8830," $16,177,881.00 ",4439,6028," $20,033,388.00 ",10906," $19,994,337.00 ",633,934," $9,137,877.00 ",1701," $9,122,826.00 ",441,527," $4,062,501.00 ",938," $4,051,266.00 ",54,74," $442,206.00 ",118," $442,206.00 "
1007,CENTRAL ALABAMA COMMUNITY COLLEGE,AL,1046,1085," $3,479,382.00 ",1770," $3,273,167.00 ",918,1043," $3,209,484.00 ",1651," $3,023,830.00 ",1,1," $4,500.00 ",2," $4,500.00 ", - , - , $- ,0, $- , - , - , $- ,0, $- 
1008,ATHENS STATE UNIVERSITY,AL,1685,1742," $6,300,183.00 ",3552," $6,184,958.00 ",1521,1585," $7,508,918.00 ",3202," $7,355,162.00 ",7,7," $32,588.00 ",9," $32,588.00 ",21,23," $136,919.00 ",50," $136,919.00 ", - , - , $- ,0, $- 
1009,AUBURN UNIVERSITY,AL,6014,6470," $24,821,117.00 ",11151," $24,800,232.00 ",6563,7156," $24,777,412.00 ",12480," $24,661,392.00 ",1962,2377," $43,296,330.00 ",3953," $43,038,690.00 ",1344,1592," $28,008,117.00 ",2653," $27,784,919.00 ",351,435," $5,675,272.00 ",642," $5,617,006.00 "
1012,BIRMINGHAM-SOUTHERN COLLEGE,AL,448,449," $1,868,331.00 ",827," $1,835,033.00 ",556,557," $2,157,562.00 ",1029," $2,123,221.00 ", - , - , $- ,0, $- ,123,129," $1,959,091.00 ",238," $1,941,842.00 ", - , - , $- ,0, $- 
1013,CALHOUN COMMUNITY COLLEGE,AL,3307,3377," $10,089,438.00 ",5580," $9,746,041.00 ",2873,2933," $9,066,850.00 ",4862," $8,758,557.00 ", - , - , $- ,0, $- ,13,13," $60,702.00 ",24," $54,396.00 ", - , - , $- ,0, $- 
1015,ENTERPRISE STATE COMMUNITY COLLEGE,AL,683,756," $2,041,825.00 ",1448," $2,022,099.00 ",505,560," $1,476,238.00 ",1067," $1,453,290.00 ", - , - , $- ,0, $- ,3,3," $13,913.00 ",7," $13,845.00 ", - , - , $- ,0, $- 
1016,UNIVERSITY OF NORTH ALABAMA,AL,2712,2923," $10,236,636.00 ",5300," $10,224,006.00 ",2683,3028," $11,086,415.00 ",5488," $11,031,151.00 ",397,479," $4,783,396.00 ",813," $4,767,651.00 ",153,179," $1,061,270.00 ",323," $1,045,364.00 ", - , - , $- ,0, $- 
1019,HUNTINGDON COLLEGE,AL,720,723," $2,788,059.00 ",1407," $2,785,767.00 ",814,815," $3,608,030.00 ",1587," $3,598,180.00 ", - , - , $- ,0, $- ,116,117," $1,217,180.00 ",219," $1,201,854.00 ", - , - , $- ,0, $- 
1020,JACKSONVILLE STATE UNIVERSITY,AL,4397,4691," $17,427,909.00 ",7708," $17,401,293.00 ",4329,5145," $19,100,733.00 ",8472," $19,044,760.00 ",819,994," $11,757,867.00 ",1395," $11,703,189.00 ",226,259," $1,622,736.00 ",424," $1,608,544.00 ",17,17," $100,895.00 ",18," $100,895.00 "
1022,JEFFERSON STATE COMMUNITY COLLEGE,AL,2272,2432," $6,800,302.00 ",3613," $6,784,468.00 ",1026,1074," $2,839,545.00 ",1547," $2,828,949.00 ",1,1," $5,500.00 ",2," $5,500.00 ", - , - , $- ,0, $- , - , - , $- ,0, $- 
1023,JUDSON COLLEGE,AL,234,258," $955,184.00 ",461," $916,934.00 ",247,292," $1,086,272.00 ",514," $1,028,480.00 ", - , - , $- ,0, $- ,37,43," $307,855.00 ",73," $305,024.00 ", - , - , $- ,0, $- 
1024,UNIVERSITY OF WEST ALABAMA,AL,1400,1494," $4,868,897.00 ",2678," $4,860,651.00 ",1512,1632," $6,710,506.00 ",2922," $6,682,248.00 ",2933,3170," $39,130,752.00 ",9202," $39,000,542.00 ",102,110," $760,828.00 ",190," $760,310.00 ", - , - , $- ,0, $- 
